,label
0,0
1,-1
2,0
3,-1
4,0
5,1
6,0
7,-1
8,0
9,-1
10,0
11,1
12,0
13,-1
14,0
15,1
16,0
17,1
18,0
19,-1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,-1
28,0
29,1
30,0
31,-1
32,0
33,1
34,0
35,1
36,0
37,0
38,-1
39,1
40,0
41,1
42,0
43,-1
44,0
45,-1
46,0
47,1
48,0
49,1
50,0
51,0
52,-1
53,1
54,0
55,1
56,0
57,0
58,-1
59,-1
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,-1
68,0
69,1
70,0
71,-1
72,0
73,-1
74,0
75,1
76,0
77,-1
78,0
79,1
80,0
81,-1
82,0
83,1
84,0
85,1
86,0
87,-1
88,0
89,1
90,0
91,-1
92,0
93,1
94,0
95,-1
96,0
97,1
98,0
99,-1
100,0
101,-1
102,0
103,1
104,0
105,-1
106,0
107,1
108,0
109,0
110,-1
111,-1
112,0
113,-1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,1
122,0
123,-1
124,0
125,1
126,0
127,-1
128,0
129,-1
130,0
131,1
132,0
133,1
134,0
135,-1
136,0
137,1
138,0
139,-1
140,0
141,0
142,1
143,1
144,0
145,-1
146,0
147,1
148,0
149,-1
150,0
151,0
152,-1
153,-1
154,0
155,-1
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,-1
164,0
165,-1
166,0
167,1
168,0
169,1
170,0
171,-1
172,0
173,-1
174,0
175,1
176,0
177,1
178,0
179,-1
180,0
181,-1
182,0
183,0
184,1
185,-1
186,0
187,1
188,0
189,-1
190,0
191,1
192,0
193,-1
194,0
195,-1
196,0
197,1
198,0
199,-1
200,0
201,-1
202,0
203,1
204,0
205,1
206,0
207,0
208,-1
209,-1
210,0
211,-1
212,0
213,1
214,0
215,1
216,0
217,-1
218,0
219,1
220,0
221,1
222,0
223,-1
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,-1
232,0
233,1
234,0
235,1
236,0
237,-1
238,0
239,1
240,0
241,-1
242,0
243,1
244,0
245,1
246,0
247,0
248,-1
249,1
250,0
251,-1
252,0
253,1
254,0
255,1
256,0
257,-1
258,0
259,1
260,0
261,-1
262,0
263,1
264,0
265,0
266,1
267,-1
268,0
269,0
270,-1
271,0
272,1
273,-1
274,0
275,-1
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,-1
284,0
285,-1
286,0
287,1
288,0
289,1
290,0
291,-1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,-1
300,0
301,-1
302,0
303,1
304,0
305,1
306,0
307,-1
308,0
309,-1
310,0
311,-1
312,0
313,1
314,0
315,-1
316,0
317,1
318,0
319,-1
320,0
321,1
322,0
323,0
324,1
325,-1
326,0
327,-1
328,0
329,1
330,0
331,1
332,0
333,1
334,0
335,-1
336,0
337,1
338,0
339,-1
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,-1
349,-1
350,0
351,1
352,0
353,1
354,0
355,0
356,-1
357,1
358,0
359,0
360,-1
361,1
362,0
363,1
364,0
365,1
366,0
367,0
368,-1
369,-1
370,0
371,1
372,0
373,1
374,0
375,-1
376,0
377,1
378,0
379,-1
380,0
381,1
382,0
383,-1
384,0
385,-1
386,0
387,1
388,0
389,-1
390,0
391,1
392,0
393,-1
394,0
395,1
396,0
397,-1
398,0
399,-1
400,0
401,0
402,1
403,1
404,0
405,-1
406,0
407,1
408,0
409,0
410,-1
411,1
412,0
413,-1
414,0
415,1
416,0
417,0
418,-1
419,1
420,0
421,-1
422,0
423,1
424,0
425,0
426,-1
427,1
428,0
429,-1
430,0
431,1
432,0
433,0
434,-1
435,1
436,0
437,-1
438,0
439,1
440,0
441,0
442,-1
443,1
444,0
445,-1
446,0
447,1
448,0
449,-1
450,0
451,0
452,-1
453,1
454,0
455,-1
456,0
457,1
458,0
459,-1
460,0
461,-1
462,0
463,1
464,0
465,-1
466,0
467,1
468,0
469,0
470,-1
471,1
472,0
473,-1
474,0
475,1
476,0
477,-1
478,0
479,0
480,1
481,1
482,0
483,-1
484,0
485,1
486,0
487,-1
488,0
489,0
490,-1
491,1
492,0
493,-1
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,-1
502,0
503,0
504,-1
505,1
506,0
507,0
508,-1
509,1
510,0
511,-1
512,0
513,1
514,0
515,-1
516,0
517,-1
518,0
519,1
520,0
521,1
522,0
523,-1
524,0
525,1
526,0
527,-1
528,0
529,1
530,0
531,0
532,1
533,1
534,0
535,-1
536,0
537,1
538,0
539,1
540,0
541,-1
542,0
543,1
544,0
545,-1
546,0
547,-1
548,0
549,-1
550,0
551,-1
552,0
553,1
554,0
555,-1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,0
564,-1
565,1
566,0
567,1
568,0
569,1
570,0
571,-1
572,0
573,1
574,0
575,-1
576,0
577,1
578,0
579,-1
580,0
581,0
582,1
583,-1
584,0
585,1
586,0
587,-1
588,0
589,1
590,0
591,-1
592,0
593,1
594,0
595,1
596,0
597,1
598,0
599,1
600,0
601,-1
602,0
603,-1
604,0
605,1
606,0
607,1
608,0
609,-1
610,0
611,-1
612,0
613,-1
614,0
615,1
616,0
617,-1
618,0
619,1
620,0
621,-1
622,0
623,1
624,0
625,-1
626,0
627,1
628,0
629,-1
630,0
631,1
632,0
633,-1
634,0
635,1
636,0
637,-1
638,0
639,1
640,0
641,-1
642,0
643,-1
644,0
645,1
646,0
647,1
648,0
649,-1
650,0
651,-1
652,0
653,1
654,0
655,-1
656,0
657,1
658,0
659,-1
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,-1
668,0
669,-1
670,0
671,1
672,0
673,1
674,0
675,1
676,0
677,-1
678,0
679,1
680,0
681,1
682,0
683,-1
684,0
685,1
686,0
687,-1
688,0
689,1
690,0
691,-1
692,0
693,1
694,0
695,1
696,0
697,-1
698,0
699,-1
700,0
701,1
702,0
703,-1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,-1
712,0
713,1
714,0
715,-1
716,0
717,1
718,0
719,-1
720,0
721,1
722,0
723,1
724,0
725,0
726,1
727,1
728,0
729,-1
730,0
731,-1
732,0
733,1
734,0
735,-1
736,0
737,-1
738,0
739,1
740,0
741,1
742,0
743,1
744,0
745,1
746,0
747,-1
748,0
749,-1
750,0
751,1
752,0
753,1
754,0
755,1
756,0
757,-1
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,-1
766,0
767,1
768,0
769,1
770,0
771,-1
772,0
773,1
774,0
775,-1
776,0
777,1
778,0
779,-1
780,0
781,-1
782,0
783,1
784,0
785,-1
786,0
787,1
788,0
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,-1
798,0
799,-1
800,0
801,1
802,0
803,-1
804,0
805,1
806,0
807,1
808,0
809,-1
810,0
811,1
812,0
813,1
814,0
815,1
816,0
817,-1
818,0
819,-1
820,0
821,1
822,0
823,1
824,0
825,1
826,0
827,1
828,0
829,-1
830,0
831,1
832,0
833,-1
834,0
835,1
836,0
837,-1
838,0
839,1
840,0
841,-1
842,0
843,-1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,-1
852,0
853,-1
854,0
855,1
856,0
857,1
858,0
859,1
860,0
861,1
862,0
863,-1
864,0
865,1
866,0
867,1
868,0
869,1
870,0
871,-1
872,0
873,1
874,0
875,-1
876,0
877,1
878,0
879,1
880,0
881,1
882,0
883,-1
884,0
885,1
886,0
887,1
888,0
889,-1
890,0
891,0
892,1
893,1
894,0
895,-1
896,0
897,1
898,0
899,-1
900,0
901,1
902,0
903,-1
904,0
905,1
906,0
907,-1
908,0
909,1
910,0
911,1
912,0
913,-1
914,0
915,-1
916,0
917,1
918,0
919,1
920,0
921,-1
922,0
923,-1
924,0
925,1
926,0
927,0
928,-1
929,-1
930,0
931,0
932,1
933,-1
934,0
935,0
936,1
937,1
938,0
939,-1
940,0
941,1
942,0
943,1
944,0
945,0
946,-1
947,-1
948,0
949,1
950,0
951,-1
952,0
953,1
954,0
955,-1
956,0
957,0
958,1
959,-1
960,0
961,-1
962,0
963,-1
964,0
965,1
966,0
967,1
968,0
969,-1
970,0
971,-1
972,0
973,-1
974,0
975,-1
976,0
977,-1
978,0
979,1
980,0
981,-1
982,0
983,-1
984,0
985,-1
986,0
987,-1
988,0
989,-1
990,0
991,1
992,0
993,-1
994,0
995,1
996,0
997,-1
998,0
999,-1
1000,0
1001,1
1002,0
1003,-1
1004,0
1005,-1
1006,0
1007,-1
1008,0
1009,-1
1010,0
1011,1
1012,0
1013,-1
